year,university,school,degree,employment_rate_overall,employment_rate_ft_perm,basic_monthly_mean,basic_monthly_median,gross_monthly_mean,gross_monthly_median,gross_mthly_25_percentile,gross_mthly_75_percentile,salary_range,salary_skew,employment_quality_ratio
2020,National University Of Singapore,Yale-Nus College,Bachelor Of Arts With Honours,90.5,65.7,4242.0,3800.0,4370.0,3890.0,3475.0,5000.0,1525.0,480.0,0.7259668508287294
2020,Nanyang Technological University,College Of Business (Nanyang Business School),Accountancy,96.0,88.7,3213.0,3000.0,3228.0,3000.0,3000.0,3100.0,100.0,228.0,0.9239583333333333
2020,Nanyang Technological University,College Of Business (Nanyang Business School),Accountancy And Business,97.6,91.3,4615.0,4327.0,4704.0,4405.0,3500.0,5000.0,1500.0,299.0,0.9354508196721312
2020,Nanyang Technological University,College Of Business (Nanyang Business School),Business,95.2,66.8,3973.0,3750.0,4113.0,3800.0,3300.0,4429.0,1129.0,313.0,0.7016806722689075
2020,Nanyang Technological University,College Of Business (Nanyang Business School),Double Degree In Business And Computer Engineering/Computing,97.4,97.4,5216.0,5200.0,5537.0,5400.0,5000.0,5750.0,750.0,137.0,1.0
2020,Nanyang Technological University,College Of Engineering,Aerospace Engineering,91.2,75.8,4110.0,3980.0,4284.0,4000.0,3800.0,4945.0,1145.0,284.0,0.831140350877193
2020,Nanyang Technological University,College Of Engineering,Bioengineering,89.1,43.6,3428.0,3400.0,3473.0,3450.0,3200.0,3800.0,600.0,23.0,0.48933782267115605
2020,Nanyang Technological University,College Of Engineering,Chemical And Biomolecular Engineering,95.0,83.0,3732.0,3600.0,3948.0,3900.0,3500.0,4300.0,800.0,48.0,0.8736842105263158
2020,Nanyang Technological University,College Of Engineering,Civil Engineering,95.7,87.0,3458.0,3400.0,3495.0,3500.0,3200.0,3800.0,600.0,-5.0,0.9090909090909091
2020,Nanyang Technological University,College Of Engineering,Computer Engineering,97.2,94.4,4069.0,4100.0,4136.0,4100.0,3627.0,4845.0,1218.0,36.0,0.9711934156378601
2020,Nanyang Technological University,College Of Engineering,Computer Science,92.2,86.1,4508.0,4250.0,4558.0,4300.0,3880.0,5000.0,1120.0,258.0,0.9338394793926247
2020,Nanyang Technological University,College Of Engineering,Double Degree In Engineering And Economics ^,100.0,94.1,4459.0,4450.0,4516.0,4450.0,3825.0,5050.0,1225.0,66.0,0.941
2020,Nanyang Technological University,College Of Engineering,Electrical And Electronic Engineering,94.5,75.1,3925.0,3800.0,4004.0,3880.0,3500.0,4370.0,870.0,124.0,0.7947089947089947
2020,Nanyang Technological University,College Of Engineering,Environmental Engineering,90.2,58.5,3364.0,3375.0,3444.0,3450.0,3200.0,3800.0,600.0,-6.0,0.6485587583148559
2020,Nanyang Technological University,College Of Engineering,Information Engineering And Media,96.0,70.0,4085.0,4000.0,4208.0,4000.0,3500.0,4500.0,1000.0,208.0,0.7291666666666666
2020,Nanyang Technological University,College Of Engineering,Maritime Studies,90.8,78.5,3608.0,3500.0,3646.0,3500.0,3300.0,3875.0,575.0,146.0,0.8645374449339207
2020,Nanyang Technological University,College Of Engineering,Materials Engineering,91.5,69.0,3613.0,3600.0,3755.0,3700.0,3500.0,4000.0,500.0,55.0,0.7540983606557377
2020,Nanyang Technological University,College Of Engineering,Mechanical Engineering,91.7,67.5,3861.0,3700.0,3977.0,3850.0,3500.0,4432.0,932.0,127.0,0.7360959651035986
2020,Nanyang Technological University,"College Of Humanities, Arts & Social Sciences","Art, Design And Media",90.4,35.7,2858.0,2800.0,2925.0,2800.0,2500.0,3300.0,800.0,125.0,0.3949115044247788
2020,Nanyang Technological University,"College Of Humanities, Arts & Social Sciences",Chinese,83.8,63.5,3251.0,3350.0,3310.0,3500.0,3000.0,3500.0,500.0,-190.0,0.7577565632458234
2020,Nanyang Technological University,"College Of Humanities, Arts & Social Sciences",Communication Studies,94.9,66.7,3378.0,3300.0,3440.0,3340.0,3000.0,3800.0,800.0,100.0,0.702845100105374
2020,Nanyang Technological University,"College Of Humanities, Arts & Social Sciences",Economics,91.8,63.5,3756.0,3700.0,3926.0,3797.0,3400.0,4050.0,650.0,129.0,0.6917211328976035
2020,Nanyang Technological University,"College Of Humanities, Arts & Social Sciences",English,90.9,43.2,3507.0,3450.0,3561.0,3450.0,3128.0,3900.0,772.0,111.0,0.4752475247524752
2020,Nanyang Technological University,"College Of Humanities, Arts & Social Sciences",History,87.2,44.7,3558.0,3575.0,3644.0,3650.0,3250.0,4025.0,775.0,-6.0,0.5126146788990826
2020,Nanyang Technological University,"College Of Humanities, Arts & Social Sciences",Inter-Disciplinary Double Major ^,95.8,50.0,3608.0,3300.0,3797.0,3854.0,3200.0,4500.0,1300.0,-57.0,0.5219206680584552
2020,Nanyang Technological University,"College Of Humanities, Arts & Social Sciences",Linguistics And Multilingual Studies,96.6,63.8,3371.0,3300.0,3472.0,3350.0,3000.0,3900.0,900.0,122.0,0.6604554865424431
2020,Nanyang Technological University,"College Of Humanities, Arts & Social Sciences",Philosophy,96.3,70.4,3417.0,3300.0,3580.0,3650.0,3300.0,3850.0,550.0,-70.0,0.7310488058151611
